province,city,accumulated_confirmed,accumulated_suspected,accumulated_death,accumulated_recovered,time
重庆,大足区,1,0,0,0,2020/01/27
重庆,大足区,1,0,0,0,2020/01/28
重庆,大足区,1,0,0,0,2020/01/29
重庆,大足区,4,0,0,0,2020/01/30
重庆,大足区,4,0,0,0,2020/01/31
重庆,大足区,4,0,0,0,2020/02/01
重庆,大足区,4,0,0,0,2020/02/02
重庆,大足区,5,0,0,0,2020/02/03
重庆,大足区,7,0,0,0,2020/02/04
重庆,大足区,7,0,0,0,2020/02/05
重庆,大足区,7,0,0,0,2020/02/06
重庆,江津区,2,0,0,0,2020/01/27
重庆,江津区,2,0,0,0,2020/01/28
重庆,江津区,2,0,0,0,2020/01/29
重庆,江津区,3,0,0,0,2020/01/30
重庆,江津区,3,0,0,0,2020/01/31
重庆,江津区,3,0,0,0,2020/02/01
重庆,江津区,3,0,0,0,2020/02/02
重庆,江津区,3,0,0,0,2020/02/03
重庆,江津区,3,0,0,0,2020/02/04
重庆,江津区,4,0,0,0,2020/02/05
重庆,江津区,4,0,0,0,2020/02/06
重庆,永川区,3,0,0,0,2020/01/26
重庆,永川区,3,0,0,0,2020/01/27
重庆,永川区,3,0,0,0,2020/01/28
重庆,永川区,3,0,0,0,2020/01/29
重庆,永川区,3,0,0,0,2020/01/30
重庆,永川区,3,0,0,0,2020/01/31
重庆,永川区,3,0,0,0,2020/02/01
重庆,永川区,3,0,0,1,2020/02/02
重庆,永川区,3,0,0,1,2020/02/03
重庆,永川区,3,0,0,1,2020/02/04
重庆,永川区,3,0,0,1,2020/02/05
重庆,永川区,3,0,0,1,2020/02/06
重庆,巴南区,1,0,0,0,2020/01/27
重庆,巴南区,1,0,0,0,2020/01/28
重庆,巴南区,1,0,0,0,2020/01/29
重庆,巴南区,1,0,0,0,2020/01/30
重庆,巴南区,1,0,0,0,2020/01/31
重庆,巴南区,1,0,0,0,2020/02/01
重庆,巴南区,1,0,0,0,2020/02/02
重庆,巴南区,2,0,0,0,2020/02/03
重庆,巴南区,3,0,0,0,2020/02/04
重庆,巴南区,3,0,0,0,2020/02/05
重庆,巴南区,3,0,0,0,2020/02/06
重庆,梁平区,1,0,0,0,2020/01/26
重庆,梁平区,1,0,0,0,2020/01/27
重庆,梁平区,1,0,0,0,2020/01/28
重庆,梁平区,1,0,0,0,2020/01/29
重庆,梁平区,2,0,0,0,2020/01/30
重庆,梁平区,2,0,0,0,2020/01/31
重庆,梁平区,2,0,0,0,2020/02/01
重庆,梁平区,3,0,0,0,2020/02/02
重庆,梁平区,3,0,0,0,2020/02/03
重庆,梁平区,3,0,0,0,2020/02/04
重庆,梁平区,3,0,0,0,2020/02/05
重庆,梁平区,3,0,0,0,2020/02/06
重庆,涪陵区,1,0,0,0,2020/01/26
重庆,涪陵区,1,0,0,0,2020/01/27
重庆,涪陵区,1,0,0,0,2020/01/28
重庆,涪陵区,1,0,0,0,2020/01/29
重庆,涪陵区,1,0,0,0,2020/01/30
重庆,涪陵区,1,0,0,0,2020/01/31
重庆,涪陵区,1,0,0,0,2020/02/01
重庆,涪陵区,1,0,0,0,2020/02/02
重庆,涪陵区,2,0,0,0,2020/02/03
重庆,涪陵区,2,0,0,0,2020/02/04
